DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;MES;DPTO;fex_c_2011
5055496;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1247
5055497;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;5;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055497;1;7;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;584
5055498;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055498;1;2;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055498;1;3;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055498;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055499;1;1;1;90;2; ;2; ;2; ;1;60;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1766
5055499;1;2;1;90;2; ;1;56;2; ;1;80;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1766
5055499;1;5;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1766
5055500;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1272
5055500;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1272
5055500;1;3;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1272
5055500;1;4;1;90;2; ;1;10;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1272
5055501;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055501;1;2;1;90;2; ;1;30;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1147
5055502;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1247
5055503;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055503;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055503;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055503;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;806
5055504;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;05;11;05;1027
5055504;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1027
5055505;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;953
5055505;1;2;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;953
5055506;1;1;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;953
5055506;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;953
5055508;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1069
5055509;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1247
5055510;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1247
5055511;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;1;3;2; ;2; ;05;11;05;1027
5055511;1;2;1;90;2; ;1;56;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;1027
5055512;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;989
5055512;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;11;05;989
