DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;P7481;AREA;MES;DPTO;fex_c_2011
5272856;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272856;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272863;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;565
5272863;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;565
5272870;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1302
5272870;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1302
5272871;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272871;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272872;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272872;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272872;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272873;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1646
5272873;1;2;1;90;2; ;1;21;2; ;1;42;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1646
5272874;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1162
5272875;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1181
5272875;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1181
5272875;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1181
5272876;1;1;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1232
5272876;1;2;1;90;2; ;1;7;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ; ;05;11;05;1232
5272877;1;1;1;90;2; ;1;4;2; ;1;12;2; ;2; ;2; ;2; ;1;2;2; ; ;05;11;05;1374
5272877;1;2;1;90;2; ;1;12;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1374
5272878;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272878;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1102
5272883;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;390
5272883;1;2;1;90;2; ;1;45;2; ;2; ;1;40;2; ;2; ;2; ;2; ;2; ; ;68;11;68;390
5272883;1;3;1;90;2; ;1;20;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ; ;68;11;68;390
5272884;1;1;1;90;2; ;1;10;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272884;1;2;1;90;2; ;1;40;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ; ;68;11;68;445
5272885;1;1;1;90;2; ;1;30;2; ;2; ;1;50;2; ;2; ;2; ;2; ;2; ; ;68;11;68;484
5272885;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;484
5272886;1;1;1;90;2; ;1;30;2; ;2; ;1;50;2; ;2; ;2; ;2; ;2; ; ;68;11;68;527
5272886;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;527
5272886;1;3;1;90;2; ;1;30;2; ;2; ;1;40;2; ;2; ;2; ;2; ;2; ; ;68;11;68;527
5272900;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1362
5272901;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;852
5272901;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;852
5272901;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;852
5272902;1;1;1;90;2; ;1;2;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1406
5272902;1;4;1;90;2; ;1;30;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1406
5272903;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1162
5272904;1;1;1;90;2; ;1;3;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1236
5272904;1;2;1;90;2; ;1;7;2; ;1;50;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1236
5272911;1;1;1;90;2; ;1;38;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;73;11;73;268
5272911;1;2;1;90;2; ;1;45;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;73;11;73;268
5272912;1;1;1;90;2; ;1;35;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;73;11;73;313
5272912;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;73;11;73;313
5272913;1;1;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;585
5272913;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;585
5272914;1;1;1;90;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;483
5272916;1;1;1;90;2; ;1;28;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;752
5272916;1;2;1;90;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;752
5272917;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;448
5272917;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2; ; ;68;11;68;448
5272918;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;546
5272919;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;332
5272919;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;332
5272919;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;332
5272919;1;4;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;332
5272920;1;1;1;90;2; ;1;14;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;518
5272920;1;2;1;90;2; ;1;14;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;518
5272920;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;518
5272920;1;4;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;518
5272921;1;1;1;90;2; ;1;24;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;436
5272921;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;436
5272921;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;68;11;68;436
5272922;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272922;1;2;1;90;2; ;1;25;2; ;2; ;1;40;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272923;1;1;1;90;2; ;1;15;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;317
5272923;1;2;1;90;2; ;1;42;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;317
5272924;1;1;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272924;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;50;11;50;177
5272927;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1362
5272928;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1381
5272928;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1381
5272928;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1381
5272929;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1278
5272929;1;2;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1278
5272929;1;3;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1278
5272929;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1278
5272930;1;1;1;90;2; ;1;28;2; ;2; ;2; ;1;8;2; ;2; ;2; ;2; ; ;05;11;05;901
5272930;1;2;1;90;2; ;1;9;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;901
5272930;1;3;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;901
5272931;1;1;1;90;2; ;1;48;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1031
5272931;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1031
5272932;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1243
5272932;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1243
5272932;1;3;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1243
5272932;1;4;1;90;2; ;1;35;2; ;2; ;1;7;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1243
5272933;1;1;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1031
5272933;1;2;1;90;2; ;1;6;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;05;11;05;1031
5272934;1;1;1;90;2; ;1;12;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272934;1;2;1;90;2; ;1;15;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272934;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272935;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272935;1;2;1;90;2; ;1;30;2; ;2; ;2; ;1;2;2; ;2; ;2; ;2; ; ;52;11;52;263
5272935;1;3;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272936;1;1;1;90;2; ;2; ;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;297
5272936;1;2;1;90;2; ;1;30;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;297
5272937;1;1;1;90;2; ;1;3;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272937;1;2;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;263
5272937;1;3;1;90;2; ;1;3;2; ;2; ;1;5;2; ;1;25;2; ;2; ;2; ; ;52;11;52;263
5272938;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ; ;52;11;52;197
5272938;1;2;1;90;2; ;1;30;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ; ;52;11;52;197
